R_m,A,outcome,P,T,E,E2,how_P,E_over_Eb_at_pulse_end_P,impacts_in_pulse_P,N_min_P,max_H_over_N_P,contact_label
0.25,1.00,S,S,S,S,S,rest,0.000000000000,0,1.000000000,0.202709900,within contact bounds
0.25,1.01,S,S,S,S,S,rest,0.000000000000,736,0.943144816,0.203215180,within contact bounds
0.25,1.02,S,S,S,S,S,energy after landing,0.000006696812,409,0.945454699,0.203717318,within contact bounds
0.25,1.03,S,S,S,S,S,energy outward,0.000124992122,116,0.940851694,0.204216494,within contact bounds
0.25,1.04,S,S,S,S,S,energy outward,0.000749569236,24,0.943801171,0.204712746,within contact bounds
0.25,1.05,S,S,S,S,S,energy outward,0.002257896032,16,0.940050718,0.205206302,within contact bounds
0.25,1.06,S,S,S,S,S,energy outward,0.010937000093,10,0.943536221,0.205697060,within contact bounds
0.25,1.07,S,S,S,S,S,energy outward,0.023824551700,8,0.944122624,0.206185422,within contact bounds
0.25,1.08,S,S,S,S,S,energy outward,0.026287125928,6,0.950319223,0.206671100,within contact bounds
0.25,1.09,S,S,S,S,S,energy after landing,0.057256464821,5,0.942518046,0.207154492,within contact bounds
0.25,1.10,S,S,S,S,S,energy outward,0.025383431570,4,0.957005613,0.207635493,within contact bounds
0.25,1.11,S,S,S,S,S,energy after landing,0.102936145254,3,0.952479554,0.208114098,within contact bounds
0.25,1.12,S,S,S,S,S,energy after landing,0.146887181761,3,0.947799842,0.208590751,within contact bounds
0.25,1.13,S,S,S,S,S,energy after landing,0.150013760338,3,0.942865541,0.209065080,within contact bounds
0.25,1.14,S,S,S,S,S,energy after landing,0.076377775095,3,0.937539918,0.209537277,within contact bounds
0.25,1.15,S,S,S,S,S,energy after landing,0.055272917271,1,0.967783989,0.210007578,within contact bounds
0.25,1.16,S,S,S,S,S,energy after landing,0.155252680782,1,0.965812486,0.210475987,within contact bounds
0.25,1.17,S,S,S,S,S,energy after landing,0.251571960833,1,0.963025778,0.210942353,within contact bounds
0.25,1.18,S,S,S,S,S,energy outward,0.344483784711,1,0.960303078,0.211406842,within contact bounds
0.25,1.19,S,S,S,S,S,energy outward,0.434207811082,1,0.957673794,0.211869669,within contact bounds
0.25,1.20,S,S,S,S,S,energy outward,0.520936194444,1,0.955132295,0.212330673,within contact bounds
0.25,1.21,S,S,S,S,S,energy outward,0.604838187928,1,0.952673621,0.212789911,within contact bounds
0.25,1.22,S,S,S,S,S,energy outward,0.686063802198,1,0.950293376,0.213247467,within contact bounds
0.25,1.23,S,S,S,S,S,energy outward,0.764746747402,1,0.947987641,0.213703453,within contact bounds
0.25,1.24,S,S,S,S,S,energy outward,0.841006823073,1,0.945752907,0.214157900,within contact bounds
0.25,1.25,S,S,S,S,S,energy outward,0.914951877707,1,0.943586012,0.214610852,within contact bounds
0.25,1.26,S,S,S,S,S,energy outward,0.986679429148,1,0.941484099,0.215062273,within contact bounds
0.25,1.27,O,O,O,O,O,energy outward,1.056278014851,1,0.945008195,0.215512191,within contact bounds
0.25,1.28,O,O,O,O,O,energy outward,1.123828325071,1,0.943182082,0.215960515,within contact bounds
0.25,1.29,O,O,O,O,O,energy outward,1.189404160058,1,0.941365075,0.216407652,within contact bounds
0.25,1.30,O,O,O,O,O,energy outward,1.253073243485,1,0.939556931,0.216853463,within contact bounds
0.25,1.31,O,O,O,O,O,energy outward,1.314897917548,1,0.937757451,0.217297653,within contact bounds
0.25,1.32,O,O,O,O,O,energy outward,1.374935740036,1,0.935966480,0.217740904,within contact bounds
0.25,1.33,O,O,O,O,O,energy outward,1.433239999664,1,0.934183908,0.218182589,within contact bounds
0.25,1.34,O,O,O,O,O,energy outward,1.489860162873,1,0.932409667,0.218623216,within contact bounds
0.25,1.35,O,O,O,O,O,energy outward,1.544842262838,1,0.930643728,0.219062551,within contact bounds
0.25,1.36,O,O,O,O,O,energy outward,1.598229239505,1,0.928886108,0.219500598,within contact bounds
0.25,1.37,O,O,O,O,O,energy outward,1.650061237927,1,0.927136863,0.219937708,within contact bounds
0.25,1.38,O,O,O,O,O,energy outward,1.700375870942,1,0.925396090,0.220373547,within contact bounds
0.25,1.39,O,O,O,O,O,energy outward,1.749208451216,1,0.923663926,0.220808201,within contact bounds
0.25,1.40,O,O,O,O,O,energy outward,1.796592196871,1,0.921940549,0.221241677,within contact bounds
0.25,1.41,O,O,O,O,O,energy outward,1.842558414262,1,0.920226176,0.221674260,within contact bounds
0.25,1.42,O,O,O,O,O,energy outward,1.887136660898,1,0.918521062,0.222105780,within contact bounds
0.25,1.43,O,O,O,O,O,energy outward,1.930354891063,1,0.916825504,0.222536326,within contact bounds
0.25,1.44,O,O,O,O,O,energy outward,1.972239586323,1,0.915139835,0.222965768,within contact bounds
0.25,1.45,O,O,O,O,O,energy outward,2.012815872772,1,0.913464427,0.223394212,within contact bounds
0.25,1.46,O,O,O,O,O,energy outward,2.052107626635,1,0.911799691,0.223821680,within contact bounds
0.25,1.47,O,O,O,O,O,energy outward,2.090137569605,1,0.910146077,0.224248191,within contact bounds
0.25,1.48,O,O,O,O,O,energy outward,2.126927355102,1,0.908504070,0.224673755,within contact bounds
0.25,1.49,O,O,O,O,O,energy outward,2.162497646510,1,0.906874195,0.225331067,within contact bounds
0.25,1.50,O,O,O,O,O,energy outward,2.196868188295,1,0.905257015,0.226351323,within contact bounds
0.25,1.51,O,O,O,O,O,energy outward,2.230057870774,1,0.903653129,0.227312909,within contact bounds
0.25,1.52,O,O,O,O,O,energy outward,2.262084789266,1,0.902063176,0.228215858,within contact bounds
0.25,1.53,O,O,O,O,O,energy outward,2.292966298199,1,0.900487830,0.229060171,within contact bounds
0.25,1.54,O,O,O,O,O,energy outward,2.322719060735,1,0.898927804,0.229845821,within contact bounds
0.25,1.55,O,O,O,O,O,energy outward,2.351359094374,1,0.897383849,0.230572749,within contact bounds
0.25,1.56,O,O,O,O,O,energy outward,2.378901812970,1,0.895856754,0.231240871,within contact bounds
0.25,1.57,O,O,O,O,O,energy outward,2.405362065529,1,0.894347344,0.231850072,within contact bounds
0.25,1.58,O,O,O,O,O,energy outward,2.430754172117,1,0.892856484,0.232400206,within contact bounds
0.25,1.59,O,O,O,O,O,energy outward,2.455091957193,1,0.891385077,0.232891099,within contact bounds
0.25,1.60,O,O,O,O,O,energy outward,2.478388780630,1,0.889934063,0.233322548,within contact bounds
0.25,1.61,O,O,O,O,O,energy outward,2.500657566656,1,0.888504423,0.233694319,within contact bounds
0.25,1.62,O,O,O,O,O,energy outward,2.521910830955,1,0.887097174,0.234006150,within contact bounds
0.25,1.63,O,O,O,O,O,energy outward,2.542160706111,1,0.885713376,0.234257747,within contact bounds
0.25,1.64,O,O,O,O,O,energy outward,2.561418965591,1,0.884354126,0.234448788,within contact bounds
0.25,1.65,O,O,O,O,O,energy outward,2.579697046422,1,0.883020561,0.234578919,within contact bounds
0.25,1.66,O,O,O,O,O,energy outward,2.597006070730,1,0.881713859,0.234647759,within contact bounds
0.25,1.67,O,O,O,O,O,energy outward,2.613356866266,1,0.880435240,0.234654893,within contact bounds
0.25,1.68,O,O,O,O,O,energy outward,2.628759986080,1,0.879185964,0.234599877,within contact bounds
0.25,1.69,O,O,O,O,O,energy outward,2.643225727447,1,0.877967333,0.234482239,within contact bounds
0.25,1.70,O,O,O,O,O,energy outward,2.656764150167,1,0.876780692,0.234301472,within contact bounds
0.25,1.71,O,O,O,O,O,energy outward,2.669385094371,1,0.875627430,0.234237151,within contact bounds
0.25,1.72,O,O,O,O,O,energy outward,2.681098197925,1,0.874508979,0.234644639,within contact bounds
0.25,1.73,O,O,O,O,O,energy outward,2.691912913551,1,0.873426814,0.235051162,within contact bounds
0.25,1.74,O,O,O,O,O,energy outward,2.701838525768,1,0.872382459,0.235457295,within contact bounds
0.25,1.75,O,O,O,O,O,energy outward,2.710884167757,1,0.871377482,0.235862788,within contact bounds
0.25,1.76,O,O,O,O,O,energy outward,2.719058838269,1,0.870413498,0.236267495,within contact bounds
0.25,1.77,O,O,O,O,O,energy outward,2.726371418668,1,0.869492171,0.236671976,within contact bounds
0.25,1.78,O,O,O,O,O,energy outward,2.732830690237,1,0.868615213,0.237075453,within contact bounds
0.25,1.79,O,O,O,O,O,energy outward,2.738445351851,1,0.867784388,0.237478811,within contact bounds
0.25,1.80,O,O,O,O,O,energy outward,2.743224038150,1,0.867001508,0.237881117,within contact bounds
0.25,1.81,O,O,O,O,O,energy outward,2.747175338337,1,0.866268443,0.238283375,within contact bounds
0.25,1.82,O,O,O,O,O,energy outward,2.750307815741,1,0.865587111,0.238684595,within contact bounds
0.25,1.83,O,O,O,O,O,energy outward,2.752630028292,1,0.864959488,0.239085744,within contact bounds
0.25,1.84,O,O,O,O,O,energy outward,2.754150550079,1,0.864387608,0.239485950,within contact bounds
0.25,1.85,O,O,O,O,O,energy outward,2.754877994158,1,0.863873560,0.239886027,within contact bounds
0.25,1.86,O,O,O,O,O,energy outward,2.754821036814,1,0.863419495,0.240285172,within contact bounds
0.25,1.87,O,O,O,O,O,energy outward,2.753988443494,1,0.863027624,0.240684207,within contact bounds
0.25,1.88,O,O,O,O,O,energy outward,2.752389096641,1,0.862700224,0.241082337,within contact bounds
0.25,1.89,O,O,O,O,O,energy outward,2.750032025712,1,0.862439634,0.241480366,within contact bounds
0.25,1.90,O,O,O,O,O,energy outward,2.746926439679,1,0.862248263,0.241877548,within contact bounds
0.25,1.91,O,O,O,O,O,energy outward,2.743081762342,1,0.862128587,0.242274545,within contact bounds
0.25,1.92,O,O,O,O,O,energy outward,2.738507670854,1,0.862083155,0.242670834,within contact bounds
0.25,1.93,O,O,O,O,O,energy outward,2.733214137892,1,0.862114592,0.243066657,within contact bounds
0.25,1.94,O,O,O,O,O,energy outward,2.727211477961,1,0.862225595,0.243462225,within contact bounds
0.25,1.95,O,O,O,O,O,energy outward,2.720510398422,1,0.862418946,0.243856905,within contact bounds
0.25,1.96,O,O,O,O,O,energy outward,2.713122055873,1,0.862697504,0.244251737,within contact bounds
0.25,1.97,O,O,O,O,O,energy outward,2.705058118656,1,0.863064218,0.244645656,within contact bounds
0.25,1.98,O,O,O,O,O,energy outward,2.696330836351,1,0.863522122,0.245039368,within contact bounds
0.25,1.99,O,O,O,O,O,energy outward,2.686953117259,1,0.864074345,0.245432571,within contact bounds
0.25,2.00,O,O,O,O,O,energy outward,2.676938615047,1,0.864724108,0.245825099,within contact bounds
0.25,2.01,O,O,O,O,O,energy outward,2.666301825929,1,0.865474734,0.246217641,within contact bounds
0.25,2.02,O,O,O,O,O,energy outward,2.655058197961,1,0.866329649,0.246609405,within contact bounds
0.25,2.03,O,O,O,O,O,energy outward,2.643224254344,1,0.867292385,0.247000901,within contact bounds
0.25,2.04,O,O,O,O,O,energy outward,2.630817732931,1,0.868366589,0.247392022,within contact bounds
0.25,2.05,O,O,O,O,O,energy outward,2.617857744574,1,0.869556022,0.247782417,within contact bounds
0.25,2.06,O,O,O,O,O,energy outward,2.604364953398,1,0.870864568,0.248172929,within contact bounds
0.25,2.07,O,O,O,O,O,energy outward,2.590361782734,1,0.872296240,0.248562746,within contact bounds
0.25,2.08,O,O,O,O,O,energy outward,2.575872651148,1,0.873855179,0.248951880,within contact bounds
0.25,2.09,O,O,O,O,O,energy outward,2.560924243926,1,0.875545671,0.249341273,within contact bounds
0.25,2.10,O,O,O,O,O,energy outward,2.545545826488,1,0.877372142,0.249729784,within contact bounds
0.25,2.11,O,O,O,O,O,energy outward,2.529769607629,1,0.879339170,0.250118051,within contact bounds
0.25,2.12,O,O,O,O,O,energy outward,2.513631162190,1,0.881451492,0.250506129,within contact bounds
0.25,2.13,O,O,O,O,O,energy outward,2.497169925040,1,0.883714010,0.250893473,within contact bounds
0.25,2.14,O,O,O,O,O,energy outward,2.480429770997,1,0.886131797,0.251280637,within contact bounds
0.25,2.15,O,O,O,O,O,energy outward,2.463459698937,1,0.888710103,0.251667635,within contact bounds
0.25,2.16,O,O,O,O,O,energy after landing,2.763792522913,0,0.889407362,0.252053897,within contact bounds
0.25,2.17,O,O,O,O,O,energy after landing,2.743912622860,0,0.889989925,0.252439919,within contact bounds
0.25,2.18,O,O,O,O,O,energy after landing,2.723626230030,0,0.890584399,0.252825888,within contact bounds
0.25,2.19,O,O,O,O,O,energy after landing,2.702933316940,0,0.891190787,0.253211198,within contact bounds
0.25,2.20,O,O,O,O,O,energy after landing,2.681833887283,0,0.891809087,0.253596087,within contact bounds
0.25,2.21,O,O,O,O,O,energy after landing,2.660327976098,0,0.892439299,0.253980965,within contact bounds
0.25,2.22,O,O,O,O,O,energy after landing,2.638415649948,0,0.893081421,0.254365282,within contact bounds
0.25,2.23,O,O,O,O,O,energy after landing,2.616097007092,0,0.893735449,0.254749079,within contact bounds
0.25,2.24,O,O,O,O,O,energy after landing,2.593372177651,0,0.894401380,0.255133034,within contact bounds
0.25,2.25,O,O,O,O,O,energy after landing,2.570241323786,0,0.895079209,0.255516438,within contact bounds
0.25,2.26,O,O,O,O,O,energy after landing,2.546704639862,0,0.895768931,0.255899209,within contact bounds
0.25,2.27,O,O,O,O,O,energy after landing,2.522762352615,0,0.896470539,0.256282017,within contact bounds
0.25,2.28,O,O,O,O,O,energy after landing,2.498414721321,0,0.897184025,0.256664617,within contact bounds
0.25,2.29,O,O,O,O,O,energy after landing,2.473662037965,0,0.897909380,0.257046634,within contact bounds
0.25,2.30,O,O,O,O,O,energy after landing,2.448504627397,0,0.898646596,0.257428209,within contact bounds
0.25,2.31,O,O,O,O,O,energy after landing,2.422942847505,0,0.899395662,0.257809915,within contact bounds
0.25,2.32,O,O,O,O,O,energy after landing,2.396977089372,0,0.900156565,0.258191153,within contact bounds
0.25,2.33,O,O,O,O,O,energy after landing,2.370607777442,0,0.900929295,0.258571823,within contact bounds
0.25,2.34,O,O,O,O,O,event,1.031274835525,0,0.966527138,0.258952400,within contact bounds
0.25,2.35,O,O,O,O,O,event,1.090773991666,0,0.966056308,0.259332850,within contact bounds
0.25,2.36,O,O,O,O,O,event,1.148751372050,0,0.965575318,0.259712847,within contact bounds
0.25,2.37,O,O,O,O,O,event,1.205489232619,0,0.965084314,0.260092341,within contact bounds
0.25,2.38,O,O,O,O,O,event,1.261148706417,0,0.964582873,0.260471818,within contact bounds
0.25,2.39,O,O,O,O,O,event,1.315841688678,0,0.964071640,0.260851175,within contact bounds
0.25,2.40,O,O,O,O,O,event,1.369653167987,0,0.963550305,0.261230009,within contact bounds
0.25,2.41,O,O,O,O,O,event,1.422651174398,0,0.963018923,0.261608360,within contact bounds
0.25,2.42,O,O,O,O,O,event,1.474892082996,0,0.962477731,0.261986689,within contact bounds
0.25,2.43,O,O,O,O,O,event,1.526423775946,0,0.961926677,0.262365002,within contact bounds
0.25,2.44,O,O,O,O,O,event,1.577287679118,0,0.961365622,0.262742648,within contact bounds
0.25,2.45,O,O,O,O,O,event,1.627520150483,0,0.960794663,0.263119935,within contact bounds
0.25,2.46,O,O,O,O,O,event,1.677153468767,0,0.960213980,0.263497525,within contact bounds
0.25,2.47,O,O,O,O,O,event,1.726216562198,0,0.959623294,0.263874530,within contact bounds
0.25,2.48,O,O,O,O,O,event,1.774735560965,0,0.959023040,0.264251299,within contact bounds
0.25,2.49,O,O,O,O,O,event,1.822734225878,0,0.958413018,0.264627403,within contact bounds
0.25,2.50,O,O,O,O,O,event,1.870234287540,0,0.957793135,0.265003778,within contact bounds
0.25,2.51,O,O,O,O,O,event,1.917255719249,0,0.957163603,0.265380026,within contact bounds
0.25,2.52,O,O,O,O,O,event,1.963816959748,0,0.956524436,0.265755717,within contact bounds
0.25,2.53,O,O,O,O,O,event,2.009935097355,0,0.955875539,0.266130981,within contact bounds
0.25,2.54,O,O,O,O,O,event,2.055626023857,0,0.955216927,0.266506307,within contact bounds
0.25,2.55,O,O,O,O,O,event,2.100904564403,0,0.954548710,0.266881488,within contact bounds
0.25,2.56,O,O,O,O,O,event,2.145784588094,0,0.953871101,0.267256338,within contact bounds
0.25,2.57,O,O,O,O,O,event,2.190279102895,0,0.953183348,0.267630853,within contact bounds
0.25,2.58,O,O,O,O,O,event,2.234400337660,0,0.952486498,0.268004958,within contact bounds
0.25,2.59,O,O,O,O,O,event,2.278159813484,0,0.951779560,0.268379063,within contact bounds
0.25,2.60,O,O,O,O,O,event,2.321568406132,0,0.951063239,0.268753221,within contact bounds
0.25,2.61,O,O,O,O,O,event,2.364636400956,0,0.950337434,0.269126905,within contact bounds
0.25,2.62,O,O,O,O,O,event,2.407373541443,0,0.949602059,0.269500185,within contact bounds
0.25,2.63,O,O,O,O,O,event,2.449789072330,0,0.948857066,0.269873159,within contact bounds
0.25,2.64,O,O,O,O,O,event,2.491891778047,0,0.948102442,0.270246403,within contact bounds
0.25,2.65,O,O,O,O,O,event,2.533690017140,0,0.947338203,0.270619320,within contact bounds
0.25,2.66,O,O,O,O,O,event,2.575191753198,0,0.946564354,0.270991822,within contact bounds
0.25,2.67,O,O,O,O,O,event,2.616404582732,0,0.945781104,0.271364074,within contact bounds
0.25,2.68,O,O,O,O,O,event,2.657335760395,0,0.944988466,0.271736117,within contact bounds
0.25,2.69,O,O,O,O,O,event,2.697992221851,0,0.944186115,0.272108400,within contact bounds
0.25,2.70,O,O,O,O,O,event,2.738380604581,0,0.943374107,0.272480180,within contact bounds
0.25,2.71,O,O,O,O,O,event,2.778507266858,0,0.942553084,0.272851671,within contact bounds
0.25,2.72,O,O,O,O,O,event,2.818378305091,0,0.941721820,0.273222774,within contact bounds
0.25,2.73,O,O,O,O,O,event,2.857999569720,0,0.940881674,0.273593917,within contact bounds
0.25,2.74,O,O,O,O,O,event,2.897376679812,0,0.940031456,0.273965219,within contact bounds
0.25,2.75,O,O,O,O,O,event,2.936515036492,0,0.939172321,0.274336014,within contact bounds
0.25,2.76,O,O,O,O,O,event,2.975419835331,0,0.938303078,0.274706628,within contact bounds
0.25,2.77,O,O,O,O,O,event,3.014096077787,0,0.937424640,0.275076856,within contact bounds
0.25,2.78,O,O,O,O,O,event,3.052548581792,0,0.936537033,0.275446900,within contact bounds
0.25,2.79,O,O,O,O,O,event,3.090781991569,0,0.935639232,0.275817212,within contact bounds
0.25,2.80,O,O,O,O,O,event,3.128800786746,0,0.934732154,0.276187156,within contact bounds
0.25,2.81,O,O,O,O,O,event,3.166609290829,0,0.933815759,0.276556763,within contact bounds
0.25,2.82,O,O,O,O,O,event,3.204211679097,0,0.932889986,0.276926063,within contact bounds
0.25,2.83,O,O,O,O,O,event,3.241611985962,0,0.931954634,0.277295297,within contact bounds
0.25,2.84,O,O,O,O,O,event,3.278814111845,0,0.931009490,0.277664671,within contact bounds
0.25,2.85,O,O,O,O,O,event,3.315821829602,0,0.930054930,0.278033771,within contact bounds
0.25,2.86,O,O,O,O,O,event,3.352638790540,0,0.929090927,0.278402617,within contact bounds
0.25,2.87,O,O,O,O,O,event,3.389268530063,0,0.928117462,0.278771228,within contact bounds
0.25,2.88,O,O,O,O,O,event,3.425714472963,0,0.927134533,0.279139454,within contact bounds
0.25,2.89,O,O,O,O,O,event,3.461979938394,0,0.926142114,0.279507914,within contact bounds
0.25,2.90,O,O,O,O,O,event,3.498068144546,0,0.925140221,0.279876162,within contact bounds
0.25,2.91,O,O,O,O,O,event,3.533982213052,0,0.924128864,0.280244212,within contact bounds
0.25,2.92,O,O,O,O,O,event,3.569725173134,0,0.923108069,0.280611875,within contact bounds
0.25,2.93,O,O,O,O,O,event,3.605299965519,0,0.922077839,0.280979471,within contact bounds
0.25,2.94,O,O,O,O,O,event,3.640709446131,0,0.921038132,0.281346914,within contact bounds
0.25,2.95,O,O,O,O,O,event,3.675956389585,0,0.919988547,0.281714649,within contact bounds
0.25,2.96,O,O,O,O,O,event,3.711043492486,0,0.918939438,0.282081904,within contact bounds
0.25,2.97,O,O,O,O,O,event,3.745973376554,0,0.917895030,0.282449003,within contact bounds
0.25,2.98,O,O,O,O,O,event,3.780748591589,0,0.916855247,0.282815779,within contact bounds
0.25,2.99,O,O,O,O,O,event,3.815371618269,0,0.915820013,0.283182563,within contact bounds
0.25,3.00,O,O,O,O,O,event,3.849844870822,0,0.914789259,0.283549213,within contact bounds
0.25,3.01,O,O,O,O,O,event,3.884170699546,0,0.913762912,0.283915723,within contact bounds
0.25,3.02,O,O,O,O,O,event,3.918351393214,0,0.912740905,0.284282309,within contact bounds
0.25,3.03,O,O,O,O,O,event,3.952389181356,0,0.911723170,0.284648552,within contact bounds
0.25,3.04,O,O,O,O,O,event,3.986286236432,0,0.910709644,0.285014425,within contact bounds
0.25,3.05,O,O,O,O,O,event,4.020044675900,0,0.909700262,0.285380448,within contact bounds
0.25,3.06,O,O,O,O,O,event,4.053666564184,0,0.908694963,0.285746208,within contact bounds
0.25,3.07,O,O,O,O,O,event,4.087153914551,0,0.907693687,0.286111837,within contact bounds
0.25,3.08,O,O,O,O,O,event,4.120508690904,0,0.906696374,0.286477757,within contact bounds
0.25,3.09,O,O,O,O,O,event,4.153732809490,0,0.905702969,0.286843165,within contact bounds
0.25,3.10,O,O,O,O,O,event,4.186828140528,0,0.904713414,0.287208550,within contact bounds
0.25,3.11,O,O,O,O,O,event,4.219796509770,0,0.903727655,0.287573446,within contact bounds
0.25,3.12,O,O,O,O,O,event,4.252639699992,0,0.902745640,0.287938713,within contact bounds
0.25,3.13,O,O,O,O,O,event,4.285359452415,0,0.901767315,0.288303553,within contact bounds
0.25,3.14,O,O,O,O,O,event,4.317957468070,0,0.900792630,0.288668699,within contact bounds
0.25,3.15,O,O,O,O,O,event,4.350435409101,0,0.899821535,0.289033422,within contact bounds
0.25,3.16,O,O,O,O,O,event,4.382794900018,0,0.898853982,0.289398099,within contact bounds
0.25,3.17,O,O,O,O,O,event,4.415037528888,0,0.897889923,0.289762437,within contact bounds
0.25,3.18,O,O,O,O,O,event,4.447164848491,0,0.896929312,0.290126619,within contact bounds
0.25,3.19,O,O,O,O,O,event,4.479178377412,0,0.895972103,0.290491252,within contact bounds
0.25,3.20,O,O,O,O,O,event,4.511079601104,0,0.895018252,0.290855288,within contact bounds
0.25,3.21,O,O,O,O,O,event,4.542869972899,0,0.894067716,0.291219595,within contact bounds
0.25,3.22,O,O,O,O,O,event,4.574550914978,0,0.893120451,0.291583565,within contact bounds
0.25,3.23,O,O,O,O,O,event,4.606123819314,0,0.892176417,0.291947211,within contact bounds
0.25,3.24,O,O,O,O,O,event,4.637590048563,0,0.891235573,0.292310919,within contact bounds
0.25,3.25,O,O,O,O,O,event,4.668950936932,0,0.890297878,0.292674595,within contact bounds
0.25,3.26,O,O,O,O,O,event,4.700207791010,0,0.889363294,0.293038265,within contact bounds
0.25,3.27,O,O,O,O,O,event,4.731361890565,0,0.888431782,0.293401995,within contact bounds
0.25,3.28,O,O,O,O,O,event,4.762414489317,0,0.887503305,0.293765448,within contact bounds
0.25,3.29,O,O,O,O,O,event,4.793366815677,0,0.886577827,0.294128634,within contact bounds
0.25,3.30,O,O,O,O,O,event,4.824220073459,0,0.885655310,0.294491567,within contact bounds
0.25,3.31,O,O,O,O,O,event,4.854975442572,0,0.884735721,0.294854843,within contact bounds
0.25,3.32,O,O,O,O,O,event,4.885634079679,0,0.883819023,0.295218107,within contact bounds
0.25,3.33,O,O,O,O,O,event,4.916197118839,0,0.882905184,0.295581135,within contact bounds
0.25,3.34,O,O,O,O,O,event,4.946665672119,0,0.881994171,0.295943921,within contact bounds
0.25,3.35,O,O,O,O,O,event,4.977040830193,0,0.881085949,0.296306814,within contact bounds
0.25,3.36,O,O,O,O,O,event,5.007323662915,0,0.880180489,0.296669499,within contact bounds
0.25,3.37,O,O,O,O,O,event,5.037515219871,0,0.879277757,0.297031984,within contact bounds
0.25,3.38,O,O,O,O,O,event,5.067616530913,0,0.878377724,0.297394280,within contact bounds
0.25,3.39,O,O,O,O,O,event,5.097628606683,0,0.877480359,0.297756932,within contact bounds
0.25,3.40,O,O,O,O,O,event,5.127552439101,0,0.876585632,0.298119552,within contact bounds
0.25,3.41,O,O,O,O,O,event,5.157389001858,0,0.875693515,0.298481997,within contact bounds
0.25,3.42,O,O,O,O,O,event,5.187139250876,0,0.874803979,0.298844273,within contact bounds
0.25,3.43,O,O,O,O,O,event,5.216804124761,0,0.873916995,0.299206389,within contact bounds
0.25,3.44,O,O,O,O,O,event,5.246384545240,0,0.873032536,0.299568354,within contact bounds
0.25,3.45,O,O,O,O,O,event,5.275881417583,0,0.872150576,0.299930175,within contact bounds
0.25,3.46,O,O,O,O,O,event,5.305295631011,0,0.871271087,0.300292439,ideal no-slip/no-flight constraint result
0.25,3.47,O,O,O,O,O,event,5.334628059090,0,0.870394043,0.300654568,ideal no-slip/no-flight constraint result
0.25,3.48,O,O,O,O,O,event,5.363879560119,0,0.869519420,0.301016562,ideal no-slip/no-flight constraint result
0.25,3.49,O,O,O,O,O,event,5.393050977495,0,0.868647190,0.301378430,ideal no-slip/no-flight constraint result
0.25,3.50,O,O,O,O,O,event,5.422143140075,0,0.867777331,0.301739754,ideal no-slip/no-flight constraint result
0.25,3.51,O,O,O,O,O,event,5.451156862527,0,0.866909817,0.302101685,ideal no-slip/no-flight constraint result
0.25,3.52,O,O,O,O,O,event,5.480092945661,0,0.866044624,0.302463502,ideal no-slip/no-flight constraint result
0.25,3.53,O,O,O,O,O,event,5.508952176762,0,0.865181729,0.302825208,ideal no-slip/no-flight constraint result
0.25,3.54,O,O,O,O,O,event,5.537735329904,0,0.864321109,0.303186812,ideal no-slip/no-flight constraint result
0.25,3.55,O,O,O,O,O,event,5.566443166259,0,0.863462741,0.303548319,ideal no-slip/no-flight constraint result
0.25,3.56,O,O,O,O,O,event,5.595076434395,0,0.862606602,0.303909735,ideal no-slip/no-flight constraint result
0.25,3.57,O,O,O,O,O,event,5.623635870565,0,0.861752671,0.304271066,ideal no-slip/no-flight constraint result
0.25,3.58,O,O,O,O,O,event,5.652122198990,0,0.860900926,0.304632317,ideal no-slip/no-flight constraint result
0.25,3.59,O,O,O,O,O,event,5.680536132130,0,0.860051346,0.304993493,ideal no-slip/no-flight constraint result
0.25,3.60,O,O,O,O,O,event,5.708878370947,0,0.859203909,0.305355309,ideal no-slip/no-flight constraint result
0.25,3.61,O,O,O,O,O,event,5.737149605169,0,0.858358596,0.305716572,ideal no-slip/no-flight constraint result
0.25,3.62,O,O,O,O,O,event,5.765350513533,0,0.857515385,0.306077768,ideal no-slip/no-flight constraint result
0.25,3.63,O,O,O,O,O,event,5.793481764029,0,0.856674257,0.306438902,ideal no-slip/no-flight constraint result
0.25,3.64,O,O,O,O,O,event,5.821544014138,0,0.855835192,0.306799980,ideal no-slip/no-flight constraint result
0.25,3.65,O,O,O,O,O,event,5.849537911061,0,0.854998170,0.307161006,ideal no-slip/no-flight constraint result
0.25,3.66,O,O,O,O,O,event,5.877464091940,0,0.854163174,0.307522411,ideal no-slip/no-flight constraint result
0.25,3.67,O,O,O,O,O,event,5.905323184075,0,0.853330183,0.307883519,ideal no-slip/no-flight constraint result
0.25,3.68,O,O,O,O,O,event,5.933115805136,0,0.852499180,0.308244581,ideal no-slip/no-flight constraint result
0.25,3.69,O,O,O,O,O,event,5.960842563366,0,0.851670146,0.308605600,ideal no-slip/no-flight constraint result
0.25,3.70,O,O,O,O,O,event,5.988504057783,0,0.850843064,0.308966581,ideal no-slip/no-flight constraint result
0.25,3.71,O,O,O,O,O,event,6.016100878370,0,0.850017915,0.309327527,ideal no-slip/no-flight constraint result
0.25,3.72,O,O,O,O,O,event,6.043633606267,0,0.849194683,0.309688343,ideal no-slip/no-flight constraint result
0.25,3.73,O,O,O,O,O,event,6.071102813953,0,0.848373350,0.310049362,ideal no-slip/no-flight constraint result
0.25,3.74,O,O,O,O,O,event,6.098509065424,0,0.847553900,0.310410352,ideal no-slip/no-flight constraint result
